trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,trial10,trial11,trial12
5,5,1,5,1,5,1,3,1,3,3,3
1,2,4,3,3,4,2,1,1,2,4,3
5,5,5,5,1,3,1,3,1,3,1,3
2,3,1,4,4,1,3,2,2,3,1,4
5,5,5,3,5,3,1,3,1,3,1,1
3,4,2,1,1,2,4,3,3,4,2,1
5,3,5,3,5,3,5,3,1,1,1,1
4,1,3,2,2,3,1,4,4,1,3,2
3,3,5,3,5,3,5,1,5,1,1,1
1,2,4,3,3,4,2,1,1,2,4,3
3,3,3,3,5,1,5,1,5,1,5,1
2,3,1,4,4,1,3,2,2,3,1,4
3,3,3,1,3,1,5,1,5,1,5,5
3,4,2,1,1,2,4,3,3,4,2,1
3,1,3,1,3,1,3,1,5,5,5,5
4,1,3,2,2,3,1,4,4,1,3,2
1,1,3,1,3,1,3,5,3,5,5,5
1,2,4,3,3,4,2,1,1,2,4,3
1,1,1,1,3,5,3,5,3,5,3,5
2,3,1,4,4,1,3,2,2,3,1,4
1,1,1,5,1,5,3,5,3,5,3,3
3,4,2,1,1,2,4,3,3,4,2,1
1,5,1,5,1,5,1,5,3,3,3,3
4,1,3,2,2,3,1,4,4,1,3,2
