StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_3_TEXT,Q3,Q4,Q5_1,Q5_2,Q5_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,Please select your gender: - Selected Choice,Please select your gender: - Other (please specify): - Text,Please enter your age:,Are you right / left handed?,Please read the following sentences and indicate the extent to which you agree with them. - I usually trust new technology until it gives me a reason not to.,Please read the following sentences and indicate the extent to which you agree with them. - I play video games regularly.,Please read the following sentences and indicate the extent to which you agree with them. - I play a musical instrument and can play it well.
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_3_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}"
2024-04-24 17:48:39,2024-04-24 17:49:47,0,128.250.0.211,100,67,1,2024-04-24 17:49:48,R_4wIwzD4jFGpjiEh,,,,,-37.8159,144.9669,anonymous,EN,1,1,,24,1,5,2,3
2024-04-25 09:52:50,2024-04-25 09:53:59,0,128.250.0.211,100,68,1,2024-04-25 09:53:59,R_4Ute26RsQiUViYV,,,,,-37.8159,144.9669,anonymous,EN,2,2,,21,1,4,7,1
2024-04-25 10:54:14,2024-04-25 10:55:06,0,128.250.0.211,100,51,1,2024-04-25 10:55:07,R_4TNaQzBUtUBHUNo,,,,,-37.8159,144.9669,anonymous,EN,3,1,,24,1,5,5,1
2024-04-25 12:03:03,2024-04-25 12:03:43,0,128.250.0.211,100,40,1,2024-04-25 12:03:43,R_4w7ghk6xazMbIfx,,,,,-37.8159,144.9669,anonymous,EN,4,2,,27,1,6,6,2
2024-04-25 14:04:57,2024-04-25 14:05:26,0,128.250.0.211,100,28,1,2024-04-25 14:05:26,R_4FJ0eCHPlM3mmpd,,,,,-37.8159,144.9669,anonymous,EN,5,2,,20,1,5,7,3
2024-04-25 14:53:20,2024-04-25 14:53:40,0,128.250.0.211,100,19,1,2024-04-25 14:53:40,R_4iy5w6z9fqzJFet,,,,,-37.8159,144.9669,anonymous,EN,6,2,,21,1,7,3,6
2024-04-25 16:38:07,2024-04-25 16:38:58,0,128.250.0.211,100,50,1,2024-04-25 16:38:58,R_4dhm6xktKkadh5L,,,,,-37.8159,144.9669,anonymous,EN,7,2,,25,1,4,5,1
2024-04-25 17:48:06,2024-04-25 17:48:54,0,128.250.0.211,100,48,1,2024-04-25 17:48:55,R_4Z4ntxe62SdkoOl,,,,,-37.8159,144.9669,anonymous,EN,8,1,,19,1,3,1,6
