pid,auto_num,auto_level,ring_id,fitts_id,tlx_mental,tlx_physical,tlx_hurried,tlx_insecure,tlx_hard,tlx_successful,tlx_ave,mdmt_reliable,mdmt_capable,mdmt_predictable,mdmt_skilled,mdmt_counton,mdmt_competent,mdmt_consistent,mdmt_meticulous,mdmt_reliable_ave,mdmt_capable_ave,mdmt_ave,per_auto,single_trust
2,0.0,low,1,2.788,8.0,10.0,4.0,7.0,6.0,12.0,7.833333333333333,4.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.25,6.125,7.0,6.0
2,0.0,low,2,3.68,9.0,8.0,7.0,6.0,5.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.5,6.5,6.5,8.0,7.0
2,0.8,high,4,4.623,4.0,7.0,8.0,2.0,5.0,3.0,4.833333333333333,6.0,5.0,7.0,7.0,6.0,6.0,6.0,5.0,6.25,5.75,6.0,9.0,8.0
2,0.0,low,3,3.68,6.0,5.0,4.0,6.0,4.0,8.0,5.5,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.5,6.5,6.5,9.0,7.0
2,0.8,high,3,3.68,4.0,6.0,4.0,5.0,2.0,2.0,3.8333333333333335,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.5,6.75,9.0,8.0
2,0.0,low,4,4.623,5.0,3.0,5.0,7.0,4.0,4.0,4.666666666666667,7.0,7.0,8.0,7.0,8.0,7.0,7.0,8.0,7.5,7.25,7.375,8.0,7.0
2,0.8,high,2,3.68,4.0,3.0,4.0,2.0,3.0,2.0,3.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,7.5,7.5,7.5,8.0,9.0
2,0.4,med,1,2.788,2.0,2.0,3.0,3.0,4.0,3.0,2.8333333333333335,7.0,8.0,8.0,7.0,7.0,8.0,6.0,7.0,7.0,7.5,7.25,4.0,7.0
2,0.8,high,1,2.788,2.0,2.0,3.0,2.0,4.0,3.0,2.6666666666666665,7.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,7.25,7.75,7.5,9.0,8.0
2,0.4,med,2,3.68,2.0,4.0,2.0,3.0,3.0,18.0,5.333333333333333,8.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.25,7.5,7.375,2.0,9.0
2,0.4,med,4,4.623,2.0,3.0,3.0,1.0,2.0,16.0,4.5,8.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,7.5,7.75,7.625,4.0,6.0
2,0.4,med,3,3.68,2.0,3.0,4.0,3.0,2.0,17.0,5.166666666666667,8.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,7.75,7.5,7.625,9.0,8.0
3,0.0,low,1,2.788,1.0,1.0,3.0,1.0,1.0,18.0,4.166666666666667,8.0,8.0,8.0,5.0,5.0,6.0,8.0,4.0,7.25,5.75,6.5,2.0,9.0
3,0.0,low,2,3.68,1.0,1.0,3.0,1.0,2.0,20.0,4.666666666666667,7.0,7.0,8.0,5.0,5.0,5.0,8.0,5.0,7.0,5.5,6.25,1.0,9.0
3,0.8,high,4,4.623,1.0,1.0,2.0,2.0,4.0,15.0,4.166666666666667,5.0,6.0,7.0,6.0,6.0,6.0,6.0,4.0,6.0,5.5,5.75,7.0,7.0
3,0.0,low,3,3.68,1.0,1.0,1.0,1.0,2.0,18.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.25,6.0,6.125,2.0,7.0
3,0.8,high,3,3.68,1.0,1.0,1.0,1.0,3.0,17.0,4.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,5.5,5.25,6.0,5.0
3,0.0,low,4,4.623,1.0,1.0,1.0,1.0,3.0,18.0,4.166666666666667,7.0,6.0,7.0,5.0,6.0,5.0,6.0,6.0,6.5,5.5,6.0,1.0,8.0
3,0.8,high,2,3.68,1.0,1.0,3.0,1.0,2.0,20.0,4.666666666666667,8.0,7.0,8.0,7.0,6.0,7.0,8.0,5.0,7.5,6.5,7.0,8.0,7.0
3,0.4,med,1,2.788,1.0,1.0,1.0,1.0,2.0,19.0,4.166666666666667,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.25,5.625,5.0,5.0
3,0.8,high,1,2.788,1.0,1.0,1.0,1.0,1.0,20.0,4.166666666666667,7.0,7.0,7.0,7.0,6.0,7.0,7.0,5.0,6.75,6.5,6.625,7.0,7.0
3,0.4,med,2,3.68,1.0,1.0,1.0,1.0,1.0,20.0,4.166666666666667,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.75,6.0,6.375,6.0,6.0
3,0.4,med,4,4.623,1.0,2.0,1.0,1.0,4.0,20.0,4.833333333333333,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.5,5.5,5.5,4.0,4.0
3,0.4,med,3,3.68,1.0,1.0,1.0,1.0,2.0,19.0,4.166666666666667,6.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,6.5,6.25,6.375,2.0,7.0
