pid,slope,intercept,r,p,std_err
1,0.4904736860910241,-0.135648156357004,0.6547242750131792,0.0009450557120204197,0.12661586116938212
2,0.6341440719810226,-0.38532228828985216,0.7214217796813174,0.00015116044727289072,0.1361134105708066
3,0.5980767634273221,-0.5362232765481607,0.738656504897107,8.641528437885387e-05,0.12204279555627731
4,0.5309460084936883,-0.2986487732354941,0.7173013936686821,0.0001717563449579241,0.11532375709737305
5,0.45060902366405464,-0.16460913718985748,0.7233352845470126,0.00014234723747997302,0.09618492559583092
6,0.4668380756560551,-0.39840368279470684,0.8600345334293551,2.885284409647923e-07,0.06193074923465522
7,0.6611814905317065,-0.6975367501016161,0.8292065169171858,1.8454056173964297e-06,0.09965750278020809
8,0.4323414299894863,0.05756699636316154,0.5458517924177914,0.008592062810630758,0.14839519720189862
9,0.261365168354623,0.6384314913412396,0.39568845411705916,0.068329153310431,0.13564507262739087
10,0.5641843713854953,-0.5088544930265784,0.772435161489482,2.5256308427762297e-05,0.10372460197179134
11,0.637288636704656,-0.9599258435277942,0.8193208142909223,3.100965584664365e-06,0.09971853634816426
12,0.5642228396485378,-0.17146640935714896,0.6576263489902201,0.0008806712826824944,0.14452731903304816
13,0.8623414668507753,-1.1116625032938217,0.8767436509901311,8.699639393005359e-08,0.1057788326970598
14,0.45309513948096397,-0.13056795446298874,0.788524530258348,1.3043598618958224e-05,0.07901993113047551
15,0.46502275627650325,0.018624940682367308,0.575950719754105,0.00502967504507396,0.14758878736129927
16,0.2636557104981114,0.577920051947277,0.6015333629410479,0.0030621514594728026,0.0782936323175853
17,0.6218420255018225,-0.5115047466296736,0.9158178567093778,2.2709504674079958e-09,0.06097377194775248
18,0.28129162113041223,0.7900406755264733,0.5289116383524702,0.0113763131394152,0.10092553388576314
19,0.37529070345405924,-0.16252366088396974,0.8423627547741904,8.771510093103721e-07,0.05368718628433184
20,0.3376303250639913,0.5592955701368001,0.5431635544001382,0.008991966845161735,0.11670304245384916
21,0.46380994750971555,-0.08492050113298855,0.7978038981018561,8.681132187954388e-06,0.07837660641851692
22,0.33024283849958125,0.005836764332626476,0.8789961654753478,7.304974070619543e-08,0.04005843179359654
23,0.7171143671803979,-0.7598537685992983,0.73893438934411,8.560998564631481e-05,0.14621232354900981
24,0.40081292124074835,-0.05682551384077028,0.6888770720086775,0.00039207739160705126,0.09430832123230491
