pid,auto_num,auto_level,ring_id,fitts_id,move_time
1,0.0,low,1,2.788,3.2999379634857178
1,0.0,low,1,2.788,2.825058937072754
1,0.0,low,1,2.788,2.1500887870788574
1,0.0,low,1,2.788,1.8248863220214844
1,0.0,low,1,2.788,1.5750432014465332
1,0.0,low,1,2.788,2.3499915599823
1,0.0,low,1,2.788,1.8500165939331055
1,0.4,med,1,2.788,2.125033378601074
1,0.4,med,1,2.788,1.699950933456421
1,0.4,med,1,2.788,1.425088882446289
1,0.4,med,1,2.788,1.1000196933746338
1,0.4,med,1,2.788,1.7000057697296143
1,0.4,med,1,2.788,1.725085735321045
1,0.4,med,1,2.788,1.5249218940734863
1,0.0,low,2,3.68,1.9750087261199951
1,0.0,low,2,3.68,1.699866533279419
1,0.0,low,2,3.68,2.3250691890716553
1,0.0,low,2,3.68,1.950016736984253
1,0.0,low,2,3.68,2.0000386238098145
1,0.0,low,2,3.68,1.850036382675171
1,0.0,low,2,3.68,1.874922513961792
1,0.0,low,4,4.623,4.975158452987671
1,0.0,low,4,4.623,3.3752167224884033
1,0.0,low,4,4.623,2.774848699569702
1,0.0,low,4,4.623,1.7501561641693115
1,0.0,low,4,4.623,1.974860429763794
1,0.0,low,4,4.623,1.9002268314361572
1,0.0,low,4,4.623,2.324812889099121
1,0.4,med,2,3.68,1.3749144077301025
1,0.4,med,2,3.68,1.2251341342926025
1,0.4,med,2,3.68,0.79986572265625
1,0.4,med,2,3.68,1.7750108242034912
1,0.4,med,2,3.68,3.3002471923828125
1,0.4,med,2,3.68,1.6249947547912598
1,0.4,med,2,3.68,3.249925136566162
1,0.4,med,3,3.68,1.8000433444976807
1,0.4,med,3,3.68,1.9500079154968262
1,0.4,med,3,3.68,1.9001274108886719
1,0.4,med,3,3.68,1.9746439456939697
1,0.4,med,3,3.68,2.1502482891082764
1,0.4,med,3,3.68,1.5998022556304932
1,0.4,med,3,3.68,1.6751856803894043
1,0.4,med,4,4.623,5.150026321411133
1,0.4,med,4,4.623,5.800155401229858
1,0.4,med,4,4.623,4.300019979476929
1,0.4,med,4,4.623,2.625007152557373
1,0.4,med,4,4.623,4.8751726150512695
1,0.4,med,4,4.623,2.9748265743255615
1,0.4,med,4,4.623,2.9749860763549805
1,0.8,high,2,3.68,2.750221014022827
1,0.8,high,2,3.68,1.2001702785491943
1,0.8,high,2,3.68,1.1751792430877686
1,0.8,high,2,3.68,1.1749248504638672
1,0.8,high,2,3.68,1.2255234718322754
1,0.8,high,2,3.68,1.1246709823608398
1,0.8,high,2,3.68,1.1501243114471436
1,0.0,low,3,3.68,2.4000556468963623
1,0.0,low,3,3.68,1.9502992630004883
1,0.0,low,3,3.68,1.9752283096313477
1,0.0,low,3,3.68,1.775083065032959
1,0.0,low,3,3.68,3.7752835750579834
1,0.0,low,3,3.68,1.8001508712768555
1,0.0,low,3,3.68,1.7750236988067627
1,0.8,high,3,3.68,1.4995911121368408
1,0.8,high,3,3.68,0.6749920845031738
1,0.8,high,3,3.68,2.250248670578003
1,0.8,high,3,3.68,0.6501257419586182
1,0.8,high,3,3.68,1.850003957748413
1,0.8,high,3,3.68,0.750145435333252
1,0.8,high,3,3.68,0.7749106884002686
1,0.8,high,1,2.788,0.6248290538787842
1,0.8,high,1,2.788,0.8003685474395752
1,0.8,high,1,2.788,0.649899959564209
1,0.8,high,1,2.788,0.7001149654388428
1,0.8,high,1,2.788,0.6499509811401367
1,0.8,high,1,2.788,0.6250371932983398
1,0.8,high,1,2.788,1.3750951290130615
1,0.8,high,4,4.623,1.1751275062561035
1,0.8,high,4,4.623,1.300121545791626
1,0.8,high,4,4.623,2.875147581100464
1,0.8,high,4,4.623,1.04988694190979
1,0.8,high,4,4.623,1.650331735610962
1,0.8,high,4,4.623,1.1499686241149902
1,0.8,high,4,4.623,2.1000843048095703
